season,date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,is_cup_final,visitor_margin,home_margin,visitor_win,home_win,grouped_date_id,unique_game_id,home_wl,visitor_wl,home_result,visitor_result
1997,1997-06-21,Houston Comets,76,Cleveland Rockers,56,0,20.0,-20.0,1,0,1,1,L,W,L 56-76 vs. Houston Comets,W 76-56 @ Cleveland Rockers
1997,1997-06-21,New York Liberty,67,Los Angeles Sparks,57,0,10.0,-10.0,1,0,1,2,L,W,L 57-67 vs. New York Liberty,W 67-57 @ Los Angeles Sparks
1997,1997-06-21,Sacramento Monarchs,70,Utah Starzz,60,0,10.0,-10.0,1,0,1,3,L,W,L 60-70 vs. Sacramento Monarchs,W 70-60 @ Utah Starzz
1997,1997-06-22,Charlotte Sting,59,Phoenix Mercury,76,0,-17.0,17.0,0,1,2,4,W,L,W 76-59 vs. Charlotte Sting,L 59-76 @ Phoenix Mercury
1997,1997-06-23,New York Liberty,73,Sacramento Monarchs,62,0,11.0,-11.0,1,0,3,5,L,W,L 62-73 vs. New York Liberty,W 73-62 @ Sacramento Monarchs
1997,1997-06-23,Los Angeles Sparks,89,Utah Starzz,102,0,-13.0,13.0,0,1,3,6,W,L,W 102-89 vs. Los Angeles Sparks,L 89-102 @ Utah Starzz
1997,1997-06-24,Phoenix Mercury,55,Houston Comets,72,0,-17.0,17.0,0,1,4,7,W,L,W 72-55 vs. Phoenix Mercury,L 55-72 @ Houston Comets
1997,1997-06-25,Charlotte Sting,54,Los Angeles Sparks,74,0,-20.0,20.0,0,1,5,8,W,L,W 74-54 vs. Charlotte Sting,L 54-74 @ Los Angeles Sparks
1997,1997-06-26,Charlotte Sting,70,Sacramento Monarchs,78,0,-8.0,8.0,0,1,6,9,W,L,W 78-70 vs. Charlotte Sting,L 70-78 @ Sacramento Monarchs
1997,1997-06-26,New York Liberty,62,Houston Comets,60,0,2.0,-2.0,1,0,6,10,L,W,L 60-62 vs. New York Liberty,W 62-60 @ Houston Comets
1997,1997-06-26,Utah Starzz,63,Cleveland Rockers,74,0,-11.0,11.0,0,1,6,11,W,L,W 74-63 vs. Utah Starzz,L 63-74 @ Cleveland Rockers
1997,1997-06-27,Sacramento Monarchs,92,Los Angeles Sparks,102,0,-10.0,10.0,0,1,7,12,W,L,W 102-92 vs. Sacramento Monarchs,L 92-102 @ Los Angeles Sparks
1997,1997-06-28,Houston Comets,76,Utah Starzz,58,0,18.0,-18.0,1,0,8,13,L,W,L 58-76 vs. Houston Comets,W 76-58 @ Utah Starzz
1997,1997-06-28,Phoenix Mercury,68,Cleveland Rockers,63,0,5.0,-5.0,1,0,8,14,L,W,L 63-68 vs. Phoenix Mercury,W 68-63 @ Cleveland Rockers
1997,1997-06-29,Phoenix Mercury,57,New York Liberty,65,0,-8.0,8.0,0,1,9,15,W,L,W 65-57 vs. Phoenix Mercury,L 57-65 @ New York Liberty
1997,1997-06-29,Cleveland Rockers,44,Charlotte Sting,67,0,-23.0,23.0,0,1,9,16,W,L,W 67-44 vs. Cleveland Rockers,L 44-67 @ Charlotte Sting
1997,1997-06-30,Los Angeles Sparks,66,Houston Comets,71,0,-5.0,5.0,0,1,10,17,W,L,W 71-66 vs. Los Angeles Sparks,L 66-71 @ Houston Comets
1997,1997-07-02,Utah Starzz,73,Sacramento Monarchs,68,0,5.0,-5.0,1,0,11,18,L,W,L 68-73 vs. Utah Starzz,W 73-68 @ Sacramento Monarchs
1997,1997-07-02,Houston Comets,67,New York Liberty,72,0,-5.0,5.0,0,1,11,19,W,L,W 72-67 vs. Houston Comets,L 67-72 @ New York Liberty
1997,1997-07-03,Los Angeles Sparks,74,Cleveland Rockers,62,0,12.0,-12.0,1,0,12,20,L,W,L 62-74 vs. Los Angeles Sparks,W 74-62 @ Cleveland Rockers
1997,1997-07-03,Phoenix Mercury,77,Utah Starzz,55,0,22.0,-22.0,1,0,12,21,L,W,L 55-77 vs. Phoenix Mercury,W 77-55 @ Utah Starzz
1997,1997-07-04,New York Liberty,65,Houston Comets,58,0,7.0,-7.0,1,0,13,22,L,W,L 58-65 vs. New York Liberty,W 65-58 @ Houston Comets
1997,1997-07-05,New York Liberty,66,Utah Starzz,53,0,13.0,-13.0,1,0,14,23,L,W,L 53-66 vs. New York Liberty,W 66-53 @ Utah Starzz
1997,1997-07-05,Los Angeles Sparks,66,Charlotte Sting,78,0,-12.0,12.0,0,1,14,24,W,L,W 78-66 vs. Los Angeles Sparks,L 66-78 @ Charlotte Sting
1997,1997-07-06,Cleveland Rockers,67,Sacramento Monarchs,70,0,-3.0,3.0,0,1,15,25,W,L,W 70-67 vs. Cleveland Rockers,L 67-70 @ Sacramento Monarchs
1997,1997-07-07,Sacramento Monarchs,79,Utah Starzz,69,0,10.0,-10.0,1,0,16,26,L,W,L 69-79 vs. Sacramento Monarchs,W 79-69 @ Utah Starzz
